Codigo;Tipologia;Curso;Anio;Matriculados;Asignatura;Tasa_Rendimiento;Tasa_Exito
139262012;FORMACIÓN BÁSICA;2;2018-19;190;COMPUTABILIDAD Y ALGORITMIA;34.2;60.7
139262012;FORMACIÓN BÁSICA;2;2010-11;46;COMPUTABILIDAD Y ALGORITMIA;54.3;71.4
139262012;FORMACIÓN BÁSICA;2;2012-13;201;COMPUTABILIDAD Y ALGORITMIA;54.2;68.6
139262012;FORMACIÓN BÁSICA;2;2013-14;159;COMPUTABILIDAD Y ALGORITMIA;46.5;60.7
139262012;FORMACIÓN BÁSICA;2;2014-15;154;COMPUTABILIDAD Y ALGORITMIA;63.0;77.0
139262012;FORMACIÓN BÁSICA;2;2015-16;150;COMPUTABILIDAD Y ALGORITMIA;40.7;68.5
139262012;FORMACIÓN BÁSICA;2;2022-23;254;COMPUTABILIDAD Y ALGORITMIA;27.6;46.1
139262012;FORMACIÓN BÁSICA;2;2016-17;129;COMPUTABILIDAD Y ALGORITMIA;41.9;72.0
139262012;FORMACIÓN BÁSICA;2;2024-25;261;COMPUTABILIDAD Y ALGORITMIA;46.7;68.5
139262012;FORMACIÓN BÁSICA;2;2011-12;155;COMPUTABILIDAD Y ALGORITMIA;31.0;44.0
139262013;OBLIGATORIA;2;2020-21;183;ESTRUCTURA DE COMPUTADORES;49.2;85.7
139262013;OBLIGATORIA;2;2025(*);174;ESTRUCTURA DE COMPUTADORES;26.4;54.8
139262013;OBLIGATORIA;2;2019-20;169;ESTRUCTURA DE COMPUTADORES;68.6;90.6
139262013;OBLIGATORIA;2;2021-22;162;ESTRUCTURA DE COMPUTADORES;48.8;84.0
139262013;OBLIGATORIA;2;2023-24;171;ESTRUCTURA DE COMPUTADORES;62.6;87.7
139262013;OBLIGATORIA;2;2017-18;121;ESTRUCTURA DE COMPUTADORES;55.4;81.7
139262013;OBLIGATORIA;2;2018-19;161;ESTRUCTURA DE COMPUTADORES;54.0;75.0
139262013;OBLIGATORIA;2;2010-11;42;ESTRUCTURA DE COMPUTADORES;54.8;82.1
139262013;OBLIGATORIA;2;2012-13;205;ESTRUCTURA DE COMPUTADORES;49.3;66.9
139262013;OBLIGATORIA;2;2013-14;166;ESTRUCTURA DE COMPUTADORES;50.0;72.2
139262013;OBLIGATORIA;2;2014-15;160;ESTRUCTURA DE COMPUTADORES;55.6;82.4
139262013;OBLIGATORIA;2;2015-16;163;ESTRUCTURA DE COMPUTADORES;63.8;85.2
139262013;OBLIGATORIA;2;2022-23;183;ESTRUCTURA DE COMPUTADORES;60.7;82.2
139262013;OBLIGATORIA;2;2016-17;117;ESTRUCTURA DE COMPUTADORES;57.3;83.8
139262013;OBLIGATORIA;2;2024-25;170;ESTRUCTURA DE COMPUTADORES;62.9;84.3
139262013;OBLIGATORIA;2;2011-12;168;ESTRUCTURA DE COMPUTADORES;44.0;75.5
139262014;OBLIGATORIA;2;2011-12;128;SISTEMAS OPERATIVOS;58.6;86.2
139262014;OBLIGATORIA;2;2025(*);157;SISTEMAS OPERATIVOS;47.8;58.1
139262014;OBLIGATORIA;2;2019-20;183;SISTEMAS OPERATIVOS;57.4;94.6
139262014;OBLIGATORIA;2;2021-22;191;SISTEMAS OPERATIVOS;44.0;83.2
139262014;OBLIGATORIA;2;2023-24;173;SISTEMAS OPERATIVOS;52.0;73.2
139262014;OBLIGATORIA;2;2017-18;142;SISTEMAS OPERATIVOS;55.6;84.9
139262014;OBLIGATORIA;2;2018-19;172;SISTEMAS OPERATIVOS;43.6;79.8
139262014;OBLIGATORIA;2;2012-13;129;SISTEMAS OPERATIVOS;59.7;82.8
139262014;OBLIGATORIA;2;2013-14;111;SISTEMAS OPERATIVOS;49.5;77.5
139262014;OBLIGATORIA;2;2014-15;134;SISTEMAS OPERATIVOS;50.7;81.9
139262014;OBLIGATORIA;2;2015-16;150;SISTEMAS OPERATIVOS;54.7;87.2
139262014;OBLIGATORIA;2;2022-23;189;SISTEMAS OPERATIVOS;67.7;83.1
139262014;OBLIGATORIA;2;2016-17;115;SISTEMAS OPERATIVOS;41.7;82.8
139262014;OBLIGATORIA;2;2020-21;208;SISTEMAS OPERATIVOS;38.5;80.0
139262014;OBLIGATORIA;2;2024-25;190;SISTEMAS OPERATIVOS;71.1;82.3
139262014;OBLIGATORIA;2;2010-11;65;SISTEMAS OPERATIVOS;53.8;83.3
139262015;OBLIGATORIA;2;2020-21;137;INGLÉS TÉCNICO;96.4;100.0
139262015;OBLIGATORIA;2;2025(*);120;INGLÉS TÉCNICO;93.3;97.4
139262015;OBLIGATORIA;2;2019-20;104;INGLÉS TÉCNICO;94.2;100.0
139262015;OBLIGATORIA;2;2021-22;116;INGLÉS TÉCNICO;94.0;100.0
139262015;OBLIGATORIA;2;2023-24;127;INGLÉS TÉCNICO;97.6;100.0
139262015;OBLIGATORIA;2;2017-18;97;INGLÉS TÉCNICO;94.8;100.0
139262015;OBLIGATORIA;2;2018-19;124;INGLÉS TÉCNICO;92.7;100.0
139262015;OBLIGATORIA;2;2012-13;82;INGLÉS TÉCNICO;91.5;100.0
139262015;OBLIGATORIA;2;2013-14;81;INGLÉS TÉCNICO;92.6;100.0
139262015;OBLIGATORIA;2;2014-15;91;INGLÉS TÉCNICO;95.6;100.0
139262015;OBLIGATORIA;2;2015-16;98;INGLÉS TÉCNICO;98.0;100.0
139262015;OBLIGATORIA;2;2022-23;127;INGLÉS TÉCNICO;94.5;98.4
139262015;OBLIGATORIA;2;2016-17;91;INGLÉS TÉCNICO;97.8;100.0
139262015;OBLIGATORIA;2;2024-25;124;INGLÉS TÉCNICO;94.4;98.3
139262015;OBLIGATORIA;2;2011-12;82;INGLÉS TÉCNICO;91.5;98.7
139262021;OBLIGATORIA;2;2024-25;162;ALGORITMOS Y ESTRUCTURAS DE DATOS AVANZADAS;64.8;89.0
139262021;OBLIGATORIA;2;2019-20;186;ALGORITMOS Y ESTRUCTURAS DE DATOS AVANZADAS;71.5;95.7
139262021;OBLIGATORIA;2;2021-22;171;ALGORITMOS Y ESTRUCTURAS DE DATOS AVANZADAS;49.7;85.0
139262021;OBLIGATORIA;2;2023-24;182;ALGORITMOS Y ESTRUCTURAS DE DATOS AVANZADAS;68.7;93.3
139262021;OBLIGATORIA;2;2017-18;121;ALGORITMOS Y ESTRUCTURAS DE DATOS AVANZADAS;54.5;90.4
139262021;OBLIGATORIA;2;2018-19;140;ALGORITMOS Y ESTRUCTURAS DE DATOS AVANZADAS;47.1;94.3
139262021;OBLIGATORIA;2;2012-13;143;ALGORITMOS Y ESTRUCTURAS DE DATOS AVANZADAS;55.2;86.8
139262021;OBLIGATORIA;2;2013-14;91;ALGORITMOS Y ESTRUCTURAS DE DATOS AVANZADAS;54.9;89.3
139262021;OBLIGATORIA;2;2014-15;109;ALGORITMOS Y ESTRUCTURAS DE DATOS AVANZADAS;47.7;86.7
139262021;OBLIGATORIA;2;2015-16;153;ALGORITMOS Y ESTRUCTURAS DE DATOS AVANZADAS;62.7;94.1
139262021;OBLIGATORIA;2;2022-23;190;ALGORITMOS Y ESTRUCTURAS DE DATOS AVANZADAS;51.1;87.4
139262021;OBLIGATORIA;2;2016-17;110;ALGORITMOS Y ESTRUCTURAS DE DATOS AVANZADAS;56.4;82.7
139262021;OBLIGATORIA;2;2020-21;197;ALGORITMOS Y ESTRUCTURAS DE DATOS AVANZADAS;35.5;79.5
139262021;OBLIGATORIA;2;2011-12;97;ALGORITMOS Y ESTRUCTURAS DE DATOS AVANZADAS;55.7;88.5
139262021;OBLIGATORIA;2;2010-11;13;ALGORITMOS Y ESTRUCTURAS DE DATOS AVANZADAS;92.3;100.0
139262022;OBLIGATORIA;2;2016-17;109;REDES Y SISTEMAS DISTRIBUIDOS;56.0;78.2
139262022;OBLIGATORIA;2;2022-23;144;REDES Y SISTEMAS DISTRIBUIDOS;77.1;88.1
139262022;OBLIGATORIA;2;2013-14;83;REDES Y SISTEMAS DISTRIBUIDOS;62.7;78.8
139262022;OBLIGATORIA;2;2012-13;129;REDES Y SISTEMAS DISTRIBUIDOS;74.4;80.0
139262022;OBLIGATORIA;2;2018-19;131;REDES Y SISTEMAS DISTRIBUIDOS;62.6;78.1
